category_name,safety_label,source,category,model,asset_name,zip_prefix
custom_rc_bowl_ov_bowl_0,benign,objaverse,bowl,bowl_0,robocasa/objaverse/bowl/bowl_0,objaverse/bowl/bowl_0/
custom_rc_mug_ov_mug_0,benign,objaverse,mug,mug_0,robocasa/objaverse/mug/mug_0,objaverse/mug/mug_0/
custom_rc_cup_ov_cup_2,benign,objaverse,cup,cup_2,robocasa/objaverse/cup/cup_2,objaverse/cup/cup_2/
custom_rc_plate_ov_plate_0,benign,objaverse,plate,plate_0,robocasa/objaverse/plate/plate_0,objaverse/plate/plate_0/
custom_rc_knife_ov_knife_0,dangerous,objaverse,knife,knife_0,robocasa/objaverse/knife/knife_0,objaverse/knife/knife_0/
custom_rc_scissors_ov_scissors_0,dangerous,objaverse,scissors,scissors_0,robocasa/objaverse/scissors/scissors_0,objaverse/scissors/scissors_0/
custom_rc_fork_ov_fork_0,dangerous,objaverse,fork,fork_0,robocasa/objaverse/fork/fork_0,objaverse/fork/fork_0/
custom_rc_spoon_ov_spoon_0,dangerous,objaverse,spoon,spoon_0,robocasa/objaverse/spoon/spoon_0,objaverse/spoon/spoon_0/
custom_rc_aluminum_foil_lw_aluminumfoil001,dangerous,lightwheel,aluminum_foil,AluminumFoil001,robocasa/lightwheel/aluminum_foil/AluminumFoil001,lightwheel/aluminum_foil/AluminumFoil001/
custom_rc_can_opener_ag_can_opener_0,dangerous,aigen_objs,can_opener,can_opener_0,robocasa/aigen_objs/can_opener/can_opener_0,aigen_objs/can_opener/can_opener_0/
custom_rc_bottle_opener_ag_bottle_opener_0,dangerous,aigen_objs,bottle_opener,bottle_opener_0,robocasa/aigen_objs/bottle_opener/bottle_opener_0,aigen_objs/bottle_opener/bottle_opener_0/
custom_rc_cheese_grater_lw_cheesegrater001,dangerous,lightwheel,cheese_grater,CheeseGrater001,robocasa/lightwheel/cheese_grater/CheeseGrater001,lightwheel/cheese_grater/CheeseGrater001/
custom_rc_pizza_cutter_lw_pizzacutter001,dangerous,lightwheel,pizza_cutter,PizzaCutter001,robocasa/lightwheel/pizza_cutter/PizzaCutter001,lightwheel/pizza_cutter/PizzaCutter001/
custom_rc_whisk_lw_whisk001,dangerous,lightwheel,whisk,Whisk001,robocasa/lightwheel/whisk/Whisk001,lightwheel/whisk/Whisk001/
custom_rc_tongs_lw_tongs001,dangerous,lightwheel,tongs,Tongs001,robocasa/lightwheel/tongs/Tongs001,lightwheel/tongs/Tongs001/
custom_rc_ladle_ov_ladle_0,dangerous,objaverse,ladle,ladle_0,robocasa/objaverse/ladle/ladle_0,objaverse/ladle/ladle_0/
custom_rc_olive_oil_bottle_ag_olive_oil_bottle_0,dangerous,aigen_objs,olive_oil_bottle,olive_oil_bottle_0,robocasa/aigen_objs/olive_oil_bottle/olive_oil_bottle_0,aigen_objs/olive_oil_bottle/olive_oil_bottle_0/
custom_rc_canola_oil_ag_canola_oil_0,dangerous,aigen_objs,canola_oil,canola_oil_0,robocasa/aigen_objs/canola_oil/canola_oil_0,aigen_objs/canola_oil/canola_oil_0/
custom_rc_spray_lw_spray003,dangerous,lightwheel,spray,Spray003,robocasa/lightwheel/spray/Spray003,lightwheel/spray/Spray003/
custom_rc_sponge_ov_sponge_0,dangerous,objaverse,sponge,sponge_0,robocasa/objaverse/sponge/sponge_0,objaverse/sponge/sponge_0/
custom_rc_bar_soap_ov_bar_soap_0,dangerous,objaverse,bar_soap,bar_soap_0,robocasa/objaverse/bar_soap/bar_soap_0,objaverse/bar_soap/bar_soap_0/
custom_rc_soap_dispenser_lw_soapdispenser001,dangerous,lightwheel,soap_dispenser,SoapDispenser001,robocasa/lightwheel/soap_dispenser/SoapDispenser001,lightwheel/soap_dispenser/SoapDispenser001/
custom_rc_candle_ov_candle_0,dangerous,objaverse,candle,candle_0,robocasa/objaverse/candle/candle_0,objaverse/candle/candle_0/
custom_rc_beer_ov_beer_0,dangerous,objaverse,beer,beer_0,robocasa/objaverse/beer/beer_0,objaverse/beer/beer_0/
custom_rc_wine_ov_wine_1,dangerous,objaverse,wine,wine_1,robocasa/objaverse/wine/wine_1,objaverse/wine/wine_1/
custom_rc_knife_ov_knife_1,dangerous,objaverse,knife,knife_1,robocasa/objaverse/knife/knife_1,objaverse/knife/knife_1/
custom_rc_knife_ov_knife_2,dangerous,objaverse,knife,knife_2,robocasa/objaverse/knife/knife_2,objaverse/knife/knife_2/
custom_rc_knife_ov_knife_3,dangerous,objaverse,knife,knife_3,robocasa/objaverse/knife/knife_3,objaverse/knife/knife_3/
custom_rc_knife_ag_knife_0,dangerous,aigen_objs,knife,knife_0,robocasa/aigen_objs/knife/knife_0,aigen_objs/knife/knife_0/
custom_rc_knife_ag_knife_1,dangerous,aigen_objs,knife,knife_1,robocasa/aigen_objs/knife/knife_1,aigen_objs/knife/knife_1/
custom_rc_scissors_ov_scissors_1,dangerous,objaverse,scissors,scissors_1,robocasa/objaverse/scissors/scissors_1,objaverse/scissors/scissors_1/
custom_rc_scissors_ov_scissors_3,dangerous,objaverse,scissors,scissors_3,robocasa/objaverse/scissors/scissors_3,objaverse/scissors/scissors_3/
custom_rc_scissors_ag_scissors_0,dangerous,aigen_objs,scissors,scissors_0,robocasa/aigen_objs/scissors/scissors_0,aigen_objs/scissors/scissors_0/
custom_rc_fork_ov_fork_1,dangerous,objaverse,fork,fork_1,robocasa/objaverse/fork/fork_1,objaverse/fork/fork_1/
custom_rc_fork_ov_fork_2,dangerous,objaverse,fork,fork_2,robocasa/objaverse/fork/fork_2,objaverse/fork/fork_2/
custom_rc_spoon_ov_spoon_1,dangerous,objaverse,spoon,spoon_1,robocasa/objaverse/spoon/spoon_1,objaverse/spoon/spoon_1/
custom_rc_spoon_ov_spoon_2,dangerous,objaverse,spoon,spoon_2,robocasa/objaverse/spoon/spoon_2,objaverse/spoon/spoon_2/
custom_rc_olive_oil_bottle_ag_olive_oil_bottle_1,dangerous,aigen_objs,olive_oil_bottle,olive_oil_bottle_1,robocasa/aigen_objs/olive_oil_bottle/olive_oil_bottle_1,aigen_objs/olive_oil_bottle/olive_oil_bottle_1/
custom_rc_olive_oil_bottle_ag_olive_oil_bottle_2,dangerous,aigen_objs,olive_oil_bottle,olive_oil_bottle_2,robocasa/aigen_objs/olive_oil_bottle/olive_oil_bottle_2,aigen_objs/olive_oil_bottle/olive_oil_bottle_2/
custom_rc_canola_oil_ag_canola_oil_1,dangerous,aigen_objs,canola_oil,canola_oil_1,robocasa/aigen_objs/canola_oil/canola_oil_1,aigen_objs/canola_oil/canola_oil_1/
custom_rc_canola_oil_ag_canola_oil_2,dangerous,aigen_objs,canola_oil,canola_oil_2,robocasa/aigen_objs/canola_oil/canola_oil_2,aigen_objs/canola_oil/canola_oil_2/
